requested_pruning_percentage,number_of_pruned_heads,actual_pruning_percentage,perplexity
0,0,0.0,18.032758850778897
5,7,4.861111111111111,46.30351944808518
10,14,9.722222222222221,66.14994290594193
20,29,20.13888888888889,264.31328682547434
